_id,OBJECTID,TCDSB_CODE,SCH_NAME,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,TCDSB_LEVEL,STATUS,geometry
138,137,292,St Joachim,3395 St Clair Ave E,Scarborough,M1L 1W3,E,Open,"{'type': 'Point', 'coordinates': (-79.27514407263376, 43.71282528369337)}"
139,138,305,St John Bosco,75 Holmesdale Rd,York,M6E 1Y2,E,Open,"{'type': 'Point', 'coordinates': (-79.45055774055633, 43.688715787104975)}"
140,139,531,St John Paul II,685 Military Trl,Scarborough,M1E 4P6,S,Open,"{'type': 'Point', 'coordinates': (-79.19955141392481, 43.789722617214466)}"
141,140,392,St John Vianney,105 Thistle Down Blvd,Etobicoke,M9V 1J5,E,Open,"{'type': 'Point', 'coordinates': (-79.55384621035135, 43.73797591082418)}"
142,141,348,St John XXIII,175 Grenoble Dr,North York,M3C 3E7,E,Open,"{'type': 'Point', 'coordinates': (-79.32984789040516, 43.712453971962894)}"
143,142,209,St Joseph,176 Leslie St,former Toronto,M4M 3C7,E,Open,"{'type': 'Point', 'coordinates': (-79.33189054889891, 43.665808072470924)}"
144,143,516,St Josephs Morrow Park,3379 Bayview Ave,North York,M2M 3S4,S,Open,"{'type': 'Point', 'coordinates': (-79.39481216313023, 43.79884035477936)}"
145,144,514,St Josephs College,74 Wellesley St W,former Toronto,M5S 1C4,S,Open,"{'type': 'Point', 'coordinates': (-79.38886465829572, 43.66443686213491)}"
146,145,393,St Kateri,70 Margaret Ave,North York,M2J 4C5,E,Open,"{'type': 'Point', 'coordinates': (-79.33805159089914, 43.78581971250237)}"
147,146,279,St Jude,3251 Weston Rd,North York,M9M 2T9,E,Open,"{'type': 'Point', 'coordinates': (-79.53925653965014, 43.740484480182374)}"
148,147,264,St Lawrence,2216 Lawrence Ave E,Scarborough,M1P 2P9,E,Open,"{'type': 'Point', 'coordinates': (-79.27992084472102, 43.74930638817725)}"
149,148,300,St Kevin,15 Murray Glen Dr,Scarborough,M1R 3J6,E,Open,"{'type': 'Point', 'coordinates': (-79.30585726598999, 43.75070677013276)}"
150,149,333,St Leo,165 Stanley Ave,Etobicoke,M8V 1P1,E,Open,"{'type': 'Point', 'coordinates': (-79.49628845142057, 43.61427999137493)}"
